provinsi;kabupaten;kecamatan;status_kecukupan_mbg_daging_sapi;status_kecukupan_mbg_daging_ayam;status_kecukupan_mbg_telur_ayam;koord_camat;koord_polsek;koord_koramil;jumlah_pendidik_tenaga_pendidikan;jumlah_tenaga_kesehatan;jumlah_posyandu;jumlah_puskesmas;jumlah_kelompok_belajar;jumlah_taman_kanak_kanak;jumlah_siswa_pra_sekolah;jumlah_sd_mi;jumlah_siswa_sd_mi;jumlah_smp_mts;jumlah_siswa_smp_mts;jumlah_sma_ma;jumlah_siswa_sma_ma;jumlah_siswa_slb_disabel;jumlah_santri;jumlah_k1;jumlah_asi_ekslusif;jumlah_ibu_hamil;jumlah_ibu_menyusui;balita_0_4_tahun;permintaan_daging_sapi_mbg;permintaan_daging_ayam_ras_mbg;permintaan_telur_ayam_ras_mbg;populasi_sapi_kerbau;populasi_ayam_ras_pedaging;populasi_ayam_ras_petelur;populasi_ayam_lokal_buras;populasi_itik;populasi_kambing;potensi_produksi_daging_sapi;potensi_produksi_daging_ayam_ras;potensi_produksi_telur_ayam_ras;pemenuhan_potensial_produk_daging_sapi_pemenuhan_mbg;pemenuhan_potensial_produk_daging_ayam_ras_pemenuhan_mbg;pemenuhan_potensial_produk_telur_ayam_ras_pemenuhan_mbg;jumlah_peternak_ayam_ras_pedaging;jumlah_peternak_ayam_ras_petelur;jumlah_peternak_sapi_kerbau;jumlah_peternak_kambing_domba;jumlah_peternak_ayam_lokal_buras;jumlah_peternak_itik;jumlah_rph_tph_r;jumlah_rph_tph_tugas;jumlah_cold_storage_gudang_pendingin;jumlah_gudang_kering
Kalimantan Barat;Bengkayang;teriak;cukup;tidak_cukup;tidak_cukup;1.0238249507247046, 109.60281793397776;0.7636599583183558, 109.54182394190029;;572;58;0;0;17;2;390;23;1.971;5;1.169;2;615;0;0;0;0;0;0;0;9.977,00;13.023,00;13.803,00;240;0;0;5.642;155;40;6.935,33;0;0;69,51%;0,00%;0,00%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Bengkayang;tujuh belas;sangat_cukup;cukup;sangat_cukup;1.389832150876311, 109.72651551749162;-2.8165598589927496, 107.78186202414683;;298;37;0;0;4;9;342;12;1.483;5;687;1;98;0;0;0;0;0;0;0;4.028,80;4.526,00;4.687,80;1.101;37.343;3.785;2.823;256;5.771;31.815,82;2.293,42;56.452,22;789,71%;50,67%;1204,24%;0;0;0;8;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;badau;tidak_cukup;tidak_cukup;tidak_cukup;1.2909930499668216, 111.88238784362902;1.0523889978960026, 111.90572501401607;1.0422674048833611, 111.9008587082053;268;48;0;23;3;2;209;12;1.013;5;610;2;412;0;0;0;0;0;0;0;6.209,60;8.244,40;8.751,60;12;3.307;0;1.453;276;0;346,77;203,1;0;5,58%;2,46%;0,00%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;batang lupar;tidak_cukup;tidak_cukup;sangat_cukup;1.3188700686433485, 112.2572407248763;1.0478690967714763, 112.20330141402843;;228;37;0;0;6;1;119;14;516;2;242;1;191;0;0;0;0;0;0;0;3.153,10;4.109,00;4.382,10;5;19.843;3.377;135;0;0;144,49;1.218,66;50.367,01;4,58%;29,66%;1149,38%;0;3;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;bika;tidak_cukup;cukup;tidak_cukup;0.8207497102568053, 112.82788019101575;0.8168528657477042, 112.83017828157183;;215;36;0;0;9;1;169;10;537;1;135;1;111;0;0;0;0;0;0;0;2.691,10;3.249,00;3.416,10;1;40.150;0;3.379;65;0;28,9;2.465,81;0;1,07%;75,89%;0,00%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;boyan tanjung;tidak_cukup;tidak_cukup;tidak_cukup;0.48541014289150747, 112.49237295972812;0.485665361870634, 112.49492577830368;;477;59;0;0;10;1;346;21;1.758;6;625;3;351;0;0;0;0;0;0;0;6.815,40;8.563,80;9.044,40;51;47.128;0;129;25;0;1.473,76;2.894,37;0;21,62%;33,80%;0,00%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;bunut hilir;tidak_cukup;tidak_cukup;tidak_cukup;0.7760903641297611, 112.50018680131866;0.7772716053416797, 112.4975513298222;;318;46;0;0;8;1;272;15;916;7;384;3;287;0;0;75;0;0;0;0;5.458,80;6.884,60;7.267,80;6;11.443;0;97;0;0;173,38;702,77;0;3,18%;10,21%;0,00%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;bunut hulu;cukup;cukup;tidak_cukup;0.5130591626394259, 112.65120564633516;0.46437746429942, 112.68101262617648;0.5314470884082161, 112.65657920412426;489;68;0;0;8;2;330;21;1.897;8;669;3;436;0;0;0;0;0;0;0;7.573,50;9.738,40;10.312,50;142;126.071;230;3.838;178;15;4.103,40;7.742,65;3.430,39;54,18%;79,51%;33,26%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;embaloh hilir;tidak_cukup;tidak_cukup;tidak_cukup;0.8288155102859761, 112.59953297070227;0.8385814949890869, 112.60171547412953;;194;28;0;0;4;1;105;11;592;5;295;1;126;0;0;0;0;0;0;0;2.321,50;2.954,40;3.142,50;11;0;0;417;4;0;317,87;0;0;13,69%;0,00%;0,00%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;embaloh hulu;tidak_cukup;tidak_cukup;tidak_cukup;1.147518082340476, 112.37884329413387;1.1504742537569965, 112.3758840334301;;187;31;0;0;4;1;72;13;404;3;237;1;153;0;0;0;0;0;0;0;2.348,80;3.117,00;3.343,80;35;9.260;0;1.281;6;20;1.011,40;568,7;0;43,06%;18,25%;0,00%;0;2;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;empanang;tidak_cukup;tidak_cukup;sangat_cukup;1.0781297466714224, 111.75191368537699;0.8481911467541468, 111.74606741810516;;212;29;0;0;3;2;113;13;1.069;1;113;1;60;0;0;0;0;0;0;0;1.716,70;2.029,20;2.153,70;0;0;169;486;11;0;0;0;2.520,59;0,00%;0,00%;117,04%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;hulu gurung;tidak_cukup;sangat_cukup;tidak_cukup;0.5984909723397006, 112.29721658880763;0.3698392930884278, 112.30654976297852;;596;67;0;0;17;3;373;22;1.474;11;1.089;5;759;0;0;0;0;0;0;0;11.338,70;15.085,80;16.019,70;68;205.709;0;1.102;23;19;1.965,01;12.633,62;0;17,33%;83,75%;0,00%;1;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;jongkong;tidak_cukup;tidak_cukup;sangat_cukup;0.9319999926874505, 112.28298910134289;0.6635881115070903, 112.28055331888093;;519;49;0;0;12;2;317;18;1.182;6;662;3;575;0;0;0;0;0;0;0;8.892,30;11.733,80;12.447,30;148;1.654;1.013;23;0;7;4.276,79;101,58;15.108,61;48,10%;0,87%;121,38%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;kalis;sangat_cukup;sangat_cukup;tidak_cukup;0.6812241272786759, 112.90336513504165;0.68610913792523, 112.90689381028486;;519;64;0;0;15;1;331;26;1.467;5;582;2;307;0;0;0;0;0;0;0;6.278,90;7.820,20;8.274,90;522;121.044;169;1.947;150;144;15.084,34;7.433,92;2.520,59;240,24%;95,06%;30,46%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;mentebah;sangat_cukup;tidak_cukup;sangat_cukup;0.5336683057041457, 112.78485663890775;0.5337066626464475, 112.78549735791206;;331;47;0;0;8;1;307;14;1.403;3;539;2;321;0;0;0;0;0;0;0;6.098,30;7.690,20;8.106,30;182;99;675;1.769;48;53;5.259,29;6,08;10.067,44;86,24%;0,08%;124,19%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;pengkadan;tidak_cukup;tidak_cukup;tidak_cukup;0.7318028183373088, 112.34085473600662;0.45666838453655445, 112.3791506628191;;359;51;0;0;12;1;237;17;1.016;5;340;1;297;0;0;0;0;0;0;0;5.288,80;6.768,60;7.171,80;8;15.709;34;176;0;12;231,18;964,77;507,1;4,37%;14,25%;7,07%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;puring kencana;tidak_cukup;tidak_cukup;tidak_cukup;0.9734113796907526, 111.61009739322095;0.9887403270711026, 111.60573704209304;;75;20;0;0;1;0;12;9;190;1;64;1;14;0;0;0;0;0;0;0;343,3;424,4;480,3;0;0;0;189;183;0;0;0;0;0,00%;0,00%;0,00%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;putussibau selatan;tidak_cukup;cukup;tidak_cukup;0.8389656184387247, 112.93095214568444;0.8634465900376714, 112.92477907848236;;895;86;0;0;15;1;567;33;2.703;10;1.204;5;1.796;72;636;0;0;0;0;0;23.972,30;32.817,20;35.013,30;231;323.182;0;3.620;457;21;6.675,25;19.848,22;0;27,85%;60,48%;0,00%;2;0;0;0;0;0;1;0;0;0
